Frequency,Measure,Balance sheet position,Type of instruments,Currency denomination,Currency type of reporting country,Parent country,Type of reporting institutions,Reporting country,Counterparty sector,Counterparty country,Position type,Period,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605108.009,3572252.967,3623390.761,3515671.982,5625319.805,5646038.23,5666145.53,5704368.517,6081949.708,6412511.686,6332019.803,6380068.645,6283681.512,6521612.036,6580225.325,6761524.875,6955194.833,7199253.665,7012285.194,7084006.604,7010968.075,7357791.707,7434702.563,7449552.798,7663860.894,7857071.165,7889892.944,8099879.799
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,1C:International organisations,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:P:1C:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38034.944,44072.547,48463.059,47615.451,40323.882,42233.33,42252.81,36285.67,38292.339,47733.645,44563.401,42147.5,40316.999,43643.854,40924.076,43294.386,45447.29,46162.058,48131.875,48715.899,47468.745,47864.1,45226.59,42862.438,40015.456,44895.118,43410.888,43173.386
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),U:Unallocated,Q:S:L:A:TO1:A:5J:A:5A:A:5J:U,8547,7202,10320,10732,13163,15440,14848,14828,19871,22935,24723,23791,21763,24620,25125,24556,34486,34881,34313,34118,41552,36451,33536,36526,42434,43629,46052,48150,45427,45238,42156,48755,94454,102038,108137,119588,131772,153509,159743,165309,180268,187276,186277,187764,209311,209326,211870,228067,263429,271065,281691,294812,332462,349349,343114,344575,388138,374346,368024,407635,385326,385265,406492,409707,401719,402235,423202,446595,501854,556083,561012,579597,553347,567556,567661,589484,622732,632189,673676,765557,804525,848468,860941,843766,844106,824137,813155,793783,810799,833193,846963,805022,923423,945885,961038,972609,815582,841222,912577,879949,942017,1071857,1135723,1210344,1310413,1423327,1451179,1528390,1666142,1745559,1745015,1865237,1934403,2160550,2278279,2172484,2250627,2450032,2695925,2333895,2352717,2628403,2530665,2443924,2370001,2400784,2563911,2697059.5,2682754,2631056,2265479,2441683,2380381,2582874,2633788,2495914,2415744,2418885,3757049.221,3815316.958,3798198.346,3697234.099,3569122.285,4007938.348,4161326.67,3240281.055,3262223.492,3075926.274,3073569.621,2914365.445,2958519.913,2909019.882,2732317.023,2828877.242,2814004.446,2792168.966,2728545.968,2555145.209,2648883.325,2741453.308,2791772.732,2879810.051,2744874.687,2763126.509,2628281.222,2651540.298,2985110.837,3001043.174,2996904.586,2987805.672,2995465.955,3039305.576
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5C:Euro area,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:U:5C:N,10568,10373,11425,13334,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4215,3565,4024,4089,4344,4765,5429,5876,5823,6615,8724,10136,9848,10588,13495,14491,16713,14590,17640,16543,15382,14812,17038,17086,18626,19145,21639,25689,33740,26650,26686,27290,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,212,201,185,193,176,172,234,5422,4977,4699,2354,3858,7139,8337,7943,6781,5377,5176,4923,4353,9094,8413,8586,9079,9958,12911,12535,15638,15605,15699,15034,12987,29558,29581,35557,28868,32607,94426,93536,88014,97841,97044,102846,106466,119111,118609,476872,489301,521214,550603,511384,511519,518270,548831,566671,554895,542790,616329,603861,570351,629778,657624,714356,659816,672735,646694.711,679635.366,698271.342,680734.985,671290.5,702993.177,800055.465,857674.811,853479.501,813081.301,773513.645,719963.13,721932.635,697388.585,674106.723,717767.365,708876.923,717366.107,650484.485,696877.564,740200.183,744233.997,755905.014,800036.934,761836.482,759641.909,790732.186,834016.074,863300.95,864032.992,873132.305,845397.513,900786.643,926144.747
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,D:Domestic currency (ie currency of bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),R:Local,Q:S:C:A:TO1:D:5J:A:5A:B:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11079923.81,11472243.58,11522135.22,10823082.98,10617410.08,11473911.84,11582230.32,11223564.48,11014737.26,10106019.13,9955961.465,9254309.729,9504284.417,9294410.487,9379030.567,9812647.502,9827455.819,10036000.84,9924099.226,10789891.38,11499798.18,12024318.93,12600392.69,13138217.05,12369776.97,12212182.65,11958159.17,12117582.61,12234102.26,11743656.19,12093040.79,12465830.09,14468285.68,15477218.56
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",4U:Developing Latin America and Caribbean,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:B:4U:N,38343,35844,36792,38526,48228,49485,51856,54579,57831,57928,62611,67226,70995,73430,73862,79370,77068,75589,76529,76102,74454,74982,75264,72432,75784,76439,75760,74847,73617,71862,70732,71767,72707,72110,72944,75631,76595,77381,78179,76080,78687,79492,77931,78177,79326,78246,75668,75312,75220,67058,67956,70268,70080,69972,66896,70075,70342,74669,78495,82946,82776,83284,83943,81491,75575,80766,71290,72922,74483,72274,74150,78346,81556,84310,87785,92191,100096,101672,102346,109131,115494,121175,121432,112409,101310,99494,95408,92636,94572,103126,108128,108057,108881,111670,104619,105650,100475,96063,99818,93073,88334,92122,92109,91687,84477,83545,81068,78633,76109,80854,79420,73880,79800,84391,75890,76918,78990,105434,114624,131337,141327,165048,187225,164526,146064,128592,128477,125032.5,133709,145826,159327,185548,199161,217041,242003,237431,246394,242070,247317.547,238024.322,239124.96,272959.445,258744.666,253377.932,255679.832,261925.253,266502.711,243892.62,256945.681,245408.499,233807.111,233782.035,228504.481,228063.762,227397.68,230022.617,217462.059,223968.951,211973.264,215145.363,213147.852,223252.724,215294.168,215783.895,223047.821,229925.945,232315.124,235835.717,236092.284,251766.47,215331.7,212116.956
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5J:All countries (total),U:Unallocated,Q:S:L:A:TO1:A:5J:A:5A:N:5J:U,10050,11478,11938,11969,16356,19024,18931,21033,21596,22201,23526,24823,25498,25118,26410,29290,32348,31681,32379,32593,30407,30988,34155,34439,15481,17246,17100,16824,17057,14157,13301,13607,14779,16365,16918,18022,20559,21936,20336,24954,21768,20742,19056,22405,23984,26794,26471,27311,38832,38170,38034,38339,37244,36471,44891,34959,40971,33025,43461,51951,42446,35675,44459,42028,41418,37176,33518,38760,60865,54808,54516,55173,50470,54837,57446,59586,55452,62319,71438,103293,110097,92131,97823,101309,107844,60655,72977,60435,52529,68037,65250,67410,109176,121840,127761,202816,175911,165997,179817,200950,220899,208940,217035,230076,270171,261908,248098,257987,290232,284198,297043,313336,306890,352619,364206,394773,421404,457276,496417,570202,547755,526837,516079,478030,453966,463725,519829,545454,549032,536217,481067,537204,500388,530660,542955,521786,477055,420312,392585.807,389708.439,380616.407,389199.347,361971.18,381541.358,358561.293,112975.723,117039.2,112783.253,40386.726,45802.155,53140.084,46492.465,48047.418,43847.032,41500.059,40560.768,36020.332,37609.926,39055.876,42055.43,47758.349,45490.28,34787.585,35249.823,42832.314,35029.788,41282.854,42435.803,49002.365,43031.673,37347.975,29847.762
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5R:Developed countries,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:N:5R:N,52858,58380,60746,64861,77925,85363,92825,103658,108182,113662,122155,120687,130091,137608,144454,160082,176407,183935,196948,195658,202362,204620,212532,210785,273476,284371,281560,270634,273875,276767,276008,287438,306661,327642,344637,366568,387769,412587,420699,440213,463720,461938,460752,467487,486650,514615,528002,554694,663870,702375,727863,804311,833578,814137,779187,805249,817892,807732,849731,889000,836092,869253,861463,879590,859691,897721,928694,977354,968037,1033341,1059284,1054766,1061739,1104812,1107650,1128868,1144001,1189632,1213120,1190498,1210752,1265267,1301771,1390763,1344667,1406825,1414236,1456775,1442733,1500002,1508950,1509801,1532264,1620004,1532219,1616667,1671906,1738768,1861979,1849148,1990124,2233816,2296349,2382888,2626648,2840568,2787440,2962343,3191240,3431493,3258158,3350758,3215749,3525338,3955157,4011147,4120682,4535114,4893294,5100264,5268716,5870617,5864251,5347788,4932009,4537320,4650095,4719979.5,4537806,4556294,4485036,4879609,4929752,5213561,5226510,5204401,4915318,4904838,4890431.267,5048103.939,5047808.37,5104613.048,5356788.102,5416953.808,5329772.093,5388176.601,5350290.879,5220537.31,4848928.446,4710604.683,4646496.803,4594049.97,4459682.637,4745401.323,4972898.319,4942711.674,4509991.496,4663526.797,4863741.299,4995784.17,5019343.554,5469023.211,5303097.197,5276244.135,5287798.971,5333132.563,5360361.506,5389951.085,5288835.108,6004807.666,5879556.295,6127322.032
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:L:A:GBP:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77818.663,230743.461,246769.99,243232.741,240677.555,235407.279,254355.653,231037.36,205069.772,205154.677,204965.632,200596.959,191278.007,216539.669,230319.93,246150.62,241024.85,275393.575,274322.721,283117.57,269508.435,301232.509,280239.713,275087.817,276577.933,291619.79,270769.906,298340.664
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,F:Foreign currency (ie currencies foreign to bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),R:Local,Q:S:C:A:TO1:F:5J:A:5A:U:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,-3000,859,626,395,394,393,394,9146,10042,9222,10256,10712,11211,10359,9879,11411,11743,11847,11669,13099,13626,13657,15622,13724,14121,13469,14259,12575,3535,3235,3937,4040,4089,4948,5177,5828,6764,6772,9665,9647,11467,13915,11758,9726,10397,9558,10229,11946,12161,5994,10390,13080,17367,15798,3184,312089.846,313900.014,340490.711,353843.496,364655.842,407646.323,443624.697,503979.179,505709.219,522484.797,115092.085,110324.089,106092.297,119780.538,117533.392,115368.358,112311.828,112288.576,103139.754,104787.876,105327.252,108083.409,115157.411,493966.977,110218.679,103727.743,109020.19,108158.319,107490.52,115696.261,116410.535,135921.846,133004.259,126539.812
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",4Y:Developing Asia and Pacific,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:N:4Y:N,6230,6536,6850,7406,10197,10334,10880,11819,12366,12481,14413,15284,15503,15961,16695,17319,18692,18346,19016,19667,22620,23390,24335,24429,56754,57554,56645,58791,59017,60007,60188,64260,66737,68036,67820,65920,65856,69525,70469,68998,75964,81950,75327,72963,79058,80148,76238,77749,79609,80298,88006,90881,99366,95516,94744,98306,102664,101692,106323,113809,116260,119407,118348,113802,115193,118084,118504,122893,125766,132426,139400,148644,157282,165339,172022,180152,188317,193255,198268,197863,194753,183899,180204,170652,161252,161948,161090,156579,149668,141461,142532,138552,126616,126534,125179,123139,121624,124709,130415,134388,114040,113095,115193,116694,119649,124143,122240,125256,134862,142340,149520,151800,157800,166105,180407,183725,202234,214181,247590,265965,303543,326558,333164,313094,278476,266949,273597,288064.5,300430,318600,328102,376199,388764,414076,454954,459044,455381,478728,484470.948,505057.373,516157.758,551083.516,572393.549,604669.798,629630.281,661356.207,710638.247,709704.867,704714.393,712295.148,729652.265,713637.107,734351.011,722882.771,737044.692,732964.841,719785.584,749716.944,774322.39,806508.88,817288.38,855057.952,830020.928,842000.766,834066.839,884428.665,904479.51,900068.164,938588.169,920754.864,940140.892,962453.599
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",3C:Developing Europe,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:B:3C:N,12215,11813,12000,13999,15936,13915,14370,17485,19731,16452,17240,18689,21209,16676,14205,17972,21251,16912,16850,17202,21606,21511,21573,21567,24787,24740,24193,24998,26339,22460,25098,28089,30102,29049,29969,30507,32748,30505,30925,32139,35782,34933,35099,37032,41384,39402,41021,43797,46116,44633,39469,33602,31313,26251,24777,27989,30287,30968,34459,39255,40929,39135,41091,43398,38055,34777,36351,42517,42911,46437,50088,59228,55735,57020,56916,55674,55882,55245,59501,64481,62034,55209,58703,51317,45680,47597,48062,53804,57839,58235,62287,66491,71603,71890,74531,75680,80712,83327,87377,91844,91529,103205,101109,111677,123007,128426,147551,155904,178157,202530,233719,245170,264230,305594,305303,326176,348276,393404,396307,417463,381342,389275,377205,398605,219769,217614,213253,228189,200972,217800,178624,195459,188059,217587,209877,208600,195696,202027,191135.045,206115.401,198480.245,225591.011,229954.417,221309.806,209954.987,213118.343,233097.308,183733.8,164075.145,187587.043,202175.823,208135.46,165062.178,178990.588,187761.982,195933.191,178419.084,201816.044,209854.862,211837.612,173105.664,207279.551,216429.05,244478.472,221504.334,241666.657,239386.74,248630.738,230476.723,226043.759,210303.158,210788.882
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,D:Debt securities,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),N:Cross-border,Q:S:L:D:TO1:A:5J:A:5A:P:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35998,37224,43872,42596.547,41274,37837,52793.31,51199.31,136537.795,118700.196,107837.5,106229.994,117473.686,117774.88,122292.981,119663.26,123364.561,124143.2,132700.56,123158.681,107659.224,110306.554,102865.133,108952.766,109714.96,94838.866,100647.654,105597.563
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5C:Euro area,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:A:5C:N,190904,188928,195903,214746,257523,241921,258220,278732,313584,301959,334586,339870,363508,362116,346815,357927,397956,383661,377234,385510,421850,410179,404639,400308,459601,460978,448933,433237,444975,455486,458348,488842,542216,560949,587136,623741,667519,704730,728171,734217,834256,831443,798218,810468,839095,863797,872018,900355,1094769,1180641,1221569,1358426,1427206,1348923,1299697,1344946,1438745,1373728,1474492,1628010,1476633,1512063,1479275,1521901,1541632,1559666,1607466,1701962,1749753,1984251,2008392,1975058,2018697,2071152,2035929,2072754,2075734,2064776,2082634,2142856,2243033,2399273,2554986,2767667,2850925,2941489,2958309,3178091,3095433,3236499,3227291,3092222,3310135,3500953,3424095,3623795,3588539,3608962,4018498,4093378,4353125,4671768,5008590,5126646,5617929,5946302,6008467,6175206,6832723,7071073,6995928,7101592,7309228,7937527,8401963,8385757,8939977,9606856,10177265,10912457,11567640,12787508,13001876,12037669,11034475,10450133,10975370,11143199.5,10682729,10141083,9463124,10382188,9668010,10059945,10244328,9848165,9025221,9353411,8923369.176,8949659.876,8837808.654,8543186.37,8458589.882,8471759.14,8382123.438,8518204.169,8688233.033,8122262.1,7962981.692,7651015.264,7494050.415,7491960.256,7255226.356,7737135.992,7658914.429,7610946.658,7152080.266,7409693.347,7644732.791,7739650.677,7768117.846,8120875.635,7866474.41,7910922.605,7778062.584,8242857.617,8506381.609,8369124.178,8142956.022,8636915.88,8629055.098,8809679.942
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,I:Derivatives and Other instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:C:I:TO1:A:5J:A:5A:B:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,39088,42634,43547,45596,43469,45762,47697,52854,53959,67496,69754,126572,85499,101483,111543,114483,159282,199949,189592,213639,217181,196696,219736,227063,228196,236059,242587,238523,247957,245619,255679,293161,345393,346336,338528,398609,385116,379133,384994,409281,457370,494081,520944,546568,648684,692822,749810,814279,956930,932000,928921,1064754,1014794,992596,1105429,1031765,1009242,1272773,1516446,1349396,1384338,1463573,1724909,1606500,1636928,1256519.05,1289892.892,1440754.75,1331612.826,1316459.799,1352951.033,1474730.549,1505959.99,1503039.622,1606083.434,1753686.693,1694258.004,1573893.837,1579204.559,1549936.7,1657974.347,1614532.086,1551804.375,1545496.78,1432463.351,1491055.203,1440688.266,1490238.527,1469181.71,1439062.993,1375022.998,1335579.857,1365107.446,1427456.683,1479590.406,1419624.347,1761764.625,1668445.929,1679149.731
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,U:Unallocated by instrument,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"N:Non-banks, total",5J:All countries (total),N:Cross-border,Q:S:L:U:TO1:A:5J:A:5A:N:5J:N,89406,96266,99620,107516,133825,144538,156619,171450,182727,189096,203378,205384,221726,230287,238053,257549,278187,287135,301482,302070,313082,316998,325383,328630,453760,470372,471752,459069,457776,471236,474019,494908,526293,546413,572277,601255,624119,654331,671174,693061,731882,733898,736817,747529,779084,810921,831494,869524,1082084,1138650,1178682,1279034,1323956,1282087,1237938,1282976,1321088,1293849,1342933,1389147,1320105,1352043,1335261,1354151,1327855,1378819,1430511,1493838,1489121,1592722,1625546,1629299,0,1,...,...,...,...,...,-1,-1267,-,-,2,-85,-,0,-,0,-,-,-,-2,-5,7,-5,12,-39,41,38,36,14,10,18,10,7,40,17,22,22,23,25,21,-4,2,15,9,28,29,33,30,49,21,13,25,40,43,32,22,46,47,38,60,46,32,49,36,29,41.002,37.999,39.003,46.002,15.996,144824.387,139636.622,137806.295,136285.559,124204.98,114818.562,106353.981,104545.006,101151.403,103681.189,104767.342,102589.972,102599.503,104344.658,109432.147,116835.075,125766.163,133168.2,134182.976,139280.216,143540.652,153352.955,160954.774,167744.478,172584.721,174651.936,152372.472,131362.036,121719.857
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,GBP:Pound (sterling),A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:C:A:GBP:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93143.547,251991.516,262465.865,253540.114,258742.105,255620.492,281028.71,273280.26,248446.747,241723.421,250902.715,268946.766,257692.041,302546.578,320019.606,333369.237,316532.209,367401.252,341562.256,351446.968,359276.555,413220.59,396520.415,385621.638,402646.142,425627.015,399382.158,438075.63
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,1N:Offshore centres,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:F:1N:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559422.616,811555.63,822073.208,876861.16,939739.415,966987.943,928276.717,904359.028,968533.875,1019165.573,1045952.386,1033877.105,1016438.251,1056469.672,1004069.558,1071891.512,1045662.227,1099259.695,1095742.252,1085895.613,1020950.381,1110308.174,1122180.183,1136976.081,1098237.449,1191806.723,1130996.922,1122827.006
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,D:Domestic currency (ie currency of bank location country),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),R:Local,Q:S:L:A:TO1:D:5J:A:5A:B:5J:R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8679214.155,8933310.489,9179399.039,8467891.764,8430042.229,8918467.509,9154653.929,8572712.315,8487881.592,7743428.08,7562815.891,6893003.114,7079980.18,6936745.907,6979635.762,7134719.45,6933409.757,6845904.511,6650916.386,7270007.194,7754462.981,8098993.55,8538058.02,8973055.911,8449885.614,8270559.413,8163108.616,8205818.082,8253713.991,7963337.27,8134706.837,8643188.369,10279509.1,10865187.12
